Run,Iteration,Algorithm,Best P[0],Best P[1],Best P[2],Best P[3],Best Fitness,Avg Fitness,Worst Fitness
1,0,CSO,0.6106,8.3608,9.0620,0.0345,3.1985,2.6089,1.6907
1,25,CSO,0.0000,7.8957,2.6705,7.6415,3.6561,3.0652,2.5161
1,50,CSO,8.8858,6.9939,0.0000,4.3810,3.8778,3.2539,2.8124
1,75,CSO,7.6814,10.0000,0.0000,2.9911,4.0806,3.3284,2.8268
1,100,CSO,1.4771,5.4024,1.3557,6.8157,4.0806,3.3918,3.0488
1,0,FPA,0.7750,2.4291,1.8990,9.9719,3.2228,2.5148,1.3344
1,25,FPA,10.0000,9.4075,0.0000,0.0000,4.0200,3.2766,2.7636
1,50,FPA,10.0000,10.0000,0.0000,0.0000,4.0820,3.3947,2.7779
1,75,FPA,10.0000,9.8307,0.9136,5.1518,4.0820,3.4631,2.8079
1,100,FPA,8.9092,10.0000,10.0000,3.1978,4.0820,3.5492,2.8079
2,0,CSO,3.3567,7.3146,0.6255,7.1105,3.1631,2.6125,1.8690
2,25,CSO,5.0555,6.4979,1.8774,1.0218,4.0161,3.1621,2.4468
2,50,CSO,8.4992,9.4931,0.0000,0.0000,4.0820,3.2994,2.6479
2,75,CSO,6.5988,5.3807,0.9808,7.6435,4.0820,3.3617,2.7647
2,100,CSO,5.5134,2.9492,0.6802,7.8993,4.0820,3.3933,2.8598
2,0,FPA,0.8485,6.7715,9.5797,0.1543,3.0901,2.5928,1.7095
2,25,FPA,9.4062,10.0000,10.0000,0.0000,3.7878,3.1085,2.5852
2,50,FPA,7.0012,8.4429,0.0000,0.0000,3.7893,3.3141,2.8459
2,75,FPA,9.8026,9.4170,1.9326,0.8238,3.9381,3.3731,2.9790
2,100,FPA,9.4748,8.7471,10.0000,3.7398,4.0820,3.4621,3.0069
3,0,CSO,0.1585,9.7871,6.7166,8.4933,3.1773,2.5349,1.1661
3,25,CSO,5.6725,6.0978,0.0000,0.5961,3.8624,3.0805,2.4210
3,50,CSO,4.0400,10.0000,5.5535,2.9653,3.8624,3.2168,2.5364
3,75,CSO,5.9516,7.0623,6.0683,7.5471,3.8624,3.2837,2.6138
3,100,CSO,3.1597,7.5437,3.7195,10.0000,3.8624,3.3437,2.6787
3,0,FPA,8.8775,9.4701,0.2570,7.4286,3.1636,2.5381,1.7610
3,25,FPA,7.0580,4.0285,1.6466,1.8874,3.8324,3.1226,2.4971
3,50,FPA,10.0000,10.0000,0.0000,0.0000,4.0820,3.3387,2.7125
3,75,FPA,6.0322,10.0000,0.0000,0.0184,4.0820,3.4594,2.7292
3,100,FPA,7.6615,10.0000,0.0000,0.0000,4.0820,3.6295,2.9056
4,0,CSO,4.2666,2.3843,0.9947,9.5202,3.0888,2.5349,1.5111
4,25,CSO,8.1317,9.6466,0.0000,0.0000,3.9766,3.1204,2.2245
4,50,CSO,7.7366,7.5575,0.0000,3.8390,3.9766,3.2615,2.7333
4,75,CSO,2.1396,7.5669,0.0000,3.5446,3.9766,3.3508,2.7333
4,100,CSO,0.0000,7.7968,3.7256,1.0390,3.9766,3.4142,2.9264
4,0,FPA,0.4370,5.6683,0.0815,7.8391,3.3840,2.6442,1.6230
4,25,FPA,7.4851,10.0000,0.8461,1.5483,3.9213,3.1145,2.2361
4,50,FPA,0.0000,9.5278,2.1070,3.0885,3.9213,3.2495,2.7544
4,75,FPA,7.4545,7.8642,1.3528,0.0000,4.0820,3.3621,2.7701
4,100,FPA,10.0000,9.6678,3.1551,3.2675,4.0820,3.4343,2.8940
5,0,CSO,4.4820,8.3870,0.2998,9.0129,3.3281,2.6621,1.8511
5,25,CSO,7.4507,8.4160,0.0000,4.2980,3.7101,3.1775,2.6316
5,50,CSO,10.0000,8.2259,0.0000,2.3149,3.9073,3.3610,2.7545
5,75,CSO,6.6745,6.9952,1.8646,0.0000,3.9356,3.4477,3.0333
5,100,CSO,2.6054,8.0025,3.4509,5.9026,4.0820,3.5061,3.0333
5,0,FPA,1.2819,5.3768,2.4431,9.8520,3.2206,2.5388,1.3152
5,25,FPA,4.0513,4.0697,0.0000,9.4313,3.5981,3.1044,2.5354
5,50,FPA,6.4062,10.0000,0.0000,9.1239,3.5981,3.2402,2.6389
5,75,FPA,0.0909,7.3251,9.2873,9.5591,3.6615,3.3623,2.7268
5,100,FPA,0.0000,5.2525,3.9574,7.3818,3.6615,3.4333,2.7893
6,0,CSO,1.3732,7.9637,0.8974,9.8427,3.4302,2.7264,1.6329
6,25,CSO,9.9929,9.3476,0.0000,1.3307,3.6362,3.1349,2.4238
6,50,CSO,8.7923,2.0187,0.0000,3.1420,4.0820,3.2448,2.7853
6,75,CSO,4.9406,5.7177,8.9719,3.0565,4.0820,3.3148,2.7853
