Run	Iteration	Algorithm	Best P[0]	Best P[1]	Best P[2]	Best P[3]	Best Fitness	Avg Fitness	Worst Fitness
1	0	CSO	0.0651	0.9489	0.9656	0.8084	1.7519	1.2025	0.6095
1	25	CSO	0.0455	0.7830	0.9599	0.7603	1.7967	1.5269	0.9872
1	50	CSO	0.0500	0.4195	0.8274	0.6027	1.7967	1.5815	1.3124
1	75	CSO	0.0000	0.2843	0.6437	0.8098	1.8165	1.6190	1.4350
1	100	CSO	0.0422	0.4382	0.8565	0.5516	1.8419	1.6504	1.4799
1	0	FPA	0.8581	0.8200	0.7740	0.9486	1.6297	1.2452	0.7351
1	25	FPA	0.4086	1.0000	0.7410	0.9381	1.8423	1.6088	1.0818
1	50	FPA	0.7158	0.8024	0.8381	0.5826	1.8423	1.7073	1.2733
1	75	FPA	0.9992	1.0000	0.7826	0.7130	1.8423	1.7315	1.2733
1	100	FPA	0.6884	0.6703	0.3881	0.0234	1.8423	1.7652	1.6318
2	0	CSO	0.9497	0.9798	0.8989	0.9859	1.7069	1.3159	0.7656
2	25	CSO	0.1167	1.0000	0.7627	0.7291	1.7850	1.5414	1.1918
2	50	CSO	0.1521	1.0000	0.8310	1.0000	1.8163	1.6415	1.4061
2	75	CSO	0.3346	0.4048	1.0000	0.0000	1.8163	1.6660	1.4299
2	100	CSO	0.0000	0.8868	0.6284	0.8367	1.8423	1.6943	1.4770
2	0	FPA	0.0119	0.8901	0.8653	0.9922	1.7696	1.2545	0.5814
2	25	FPA	0.4118	0.7139	0.0051	0.8836	1.7697	1.5196	1.0388
2	50	FPA	0.0000	0.7219	1.0000	0.3228	1.7835	1.6190	1.1514
2	75	FPA	0.2712	0.2460	0.7549	0.1474	1.8407	1.6871	1.4106
2	100	FPA	0.4089	0.2698	1.0000	1.0000	1.8407	1.7104	1.5709
3	0	CSO	0.1534	0.8196	0.8614	0.8880	1.6923	1.2902	0.6821
3	25	CSO	0.0000	0.5212	0.5751	0.8522	1.7508	1.4743	1.0878
3	50	CSO	0.2917	0.9721	0.7635	0.6429	1.7557	1.5605	1.3465
3	75	CSO	0.0280	0.7433	0.6703	0.7817	1.7750	1.5971	1.3465
3	100	CSO	0.2437	0.5620	0.8283	0.7469	1.8124	1.6194	1.3465
3	0	FPA	0.0449	0.8447	0.9867	0.7875	1.7183	1.2635	0.7543
3	25	FPA	0.0000	1.0000	1.0000	1.0000	1.8423	1.5913	1.2265
3	50	FPA	0.6683	0.6901	0.6701	0.8569	1.8423	1.7025	1.4617
3	75	FPA	0.2517	0.9510	0.8485	0.5071	1.8423	1.7287	1.4617
3	100	FPA	1.0000	0.6030	0.6627	0.5538	1.8423	1.7468	1.5402
4	0	CSO	0.6998	0.8354	0.2261	0.9216	1.5485	1.2069	0.6087
4	25	CSO	0.1825	1.0000	0.2576	0.9103	1.7865	1.5086	1.1589
4	50	CSO	0.1160	0.8048	1.0000	1.0000	1.8163	1.5618	1.1677
